_id,name,used_in,type,subtype,rarity,category,weight,price_value,price_denomination,shelfLife,description,img,tables,source_file,crafting_use,crafting_multiplier,crafted_value
dd9f9ceb0a7dfa2f,Aberrant Flesh,harvest,loot,,uncommon,component,2,3,gp,,Non-euclidean tissue that continues to shift shape even after death.,icons/consumables/meat/steak-alien-pink.webp,Aberration CR 0-1 Harvest Table; Aberration CR 2-4 Harvest Table,Aberrant_Flesh_dd9f9ceb0a7dfa2f.json,Transmutation reagent — used in shape-altering potions and aberrant enchantments,3,9 gp
774edc2447487188,Aberrant Organ,harvest,loot,,uncommon,component,1,3,gp,,A bizarrely shaped organ with no obvious biological analogue.,icons/commodities/biological/organ-heart-red.webp,Monstrosity CR 11+ Harvest Table; Monstrosity CR 2-4 Harvest Table; Monstrosity CR 5-10 Harvest Table,Aberrant_Organ_774edc2447487188.json,Aberrant reagent — distilled into mind-affecting potions and aberrant focus items,3,9 gp
fc90c4a02229139e,Abyssal Essence,harvest,loot,,rare,component,0.5,10,gp,,Distilled chaos energy solidified into an unstable crystalline form.,icons/commodities/materials/powder-red-green-yellow.webp,Fiend CR 11+ Harvest Table; Fiend CR 2-4 Harvest Table; Fiend CR 5-10 Harvest Table,Abyssal_Essence_fc90c4a02229139e.json,"Demonic concentrate — used in fiend-binding circles, bane weapons, and abyssal scrolls",5,50 gp
208f08bb4f6d01e1,Acidic Residue,harvest,loot,,common,component,1,3,sp,,A corrosive slime scraped from the remains of an ooze creature.,icons/commodities/materials/slime-green.webp,Gelatinous Cube Harvest Table; Ooze CR 0-1 Harvest Table; Ooze CR 2-4 Harvest Table,Acidic_Residue_208f08bb4f6d01e1.json,"Corrosive agent — used in etching metals, dissolving locks, and crafting acid vials",2,6 sp
ecb8d25f8920ee3c,Allosaurus Claw,harvest,loot,,uncommon,material,1,10,gp,,"A curved, hand-length killing claw from an allosaurus foreleg.",icons/commodities/claws/claw-lizard-white-black.webp,Allosaurus Harvest Table,Allosaurus_Claw_ecb8d25f8920ee3c.json,Slashing weapon — mounted into raking gauntlets and curved blade weapons,3,30 gp
2c4c45f9d284beb0,Alpha Trophy,harvest,loot,,rare,trophy,1,8,gp,,"A distinctive marking, crest, or appendage from a dominant specimen.",icons/commodities/bones/skull-monster-beige.webp,Monstrosity CR 11+ Harvest Table; Monstrosity CR 2-4 Harvest Table; Monstrosity CR 5-10 Harvest Table,Alpha_Trophy_2c4c45f9d284beb0.json,,,
9a678da4b0585ab9,Angelic Plume,harvest,loot,,veryRare,component,1,30,gp,,"A large, perfect feather from a powerful angel that glows softly.",icons/commodities/materials/feather-white-glowing-fire.webp,Celestial CR 11+ Harvest Table; Celestial CR 2-4 Harvest Table; Celestial CR 5-10 Harvest Table,Angelic_Plume_9a678da4b0585ab9.json,"Divine focus — woven into holy avenger weapons, blessed armor, and resurrection scrolls",10,300 gp
89f8cd3c712bb160,Animal Hide,harvest,loot,,common,material,3,6,sp,,A scraped and salted pelt suitable for basic leatherwork.,icons/commodities/leather/leather-bolt-brown.webp,Beast CR 0-1 Harvest Table,Animal_Hide_89f8cd3c712bb160.json,"Armor leather — tanned into basic leather armor, gloves, and boots",2,1 gp 2 sp
51f39152b6c48036,Animal Meat,harvest,consumable,food,common,food,2,4,sp,2,Rough cuts of meat taken from a slain beast; edible but unrefined.,icons/consumables/meat/steak-raw-red-pink.webp,Beast CR 0-1 Harvest Table; Boar Harvest Table; Brown Bear Harvest Table; Owlbear Harvest Table,Animal_Meat_51f39152b6c48036.json,,,
1b0e6821d5b7145f,Animated Metal,harvest,loot,,common,material,2,1,gp,,A plate or strut that continues to twitch with residual animation magic.,icons/commodities/metal/ingot-worn-iron.webp,Construct CR 0-1 Harvest Table; Construct CR 2-4 Harvest Table,Animated_Metal_1b0e6821d5b7145f.json,Enchanted metal — reforged into self-repairing weapons and animated shield components,2,2 gp
28f96d28fd38d3ff,Ankylosaurus Shell Fragment,harvest,loot,,uncommon,material,4,8,gp,,A hefty chunk of the ankylosaurus's natural bone armor.,icons/commodities/biological/shell-turtle-grey.webp,Ankylosaurus Harvest Table,Ankylosaurus_Shell_Fragment_28f96d28fd38d3ff.json,Shield material — mounted as a shield face or layered into heavy armor,3,24 gp
c2b039f477632efe,Apex Hide,harvest,loot,,veryRare,material,5,20,gp,,The flawless skin of a true apex predator; near-mythical quality.,icons/commodities/leather/leather-bolt-tan.webp,Beast CR 11+ Harvest Table,Apex_Hide_c2b039f477632efe.json,Legendary armor leather — the finest natural hide for legendary armor crafting,10,200 gp
215903275591fc05,Apex Meat,harvest,consumable,food,veryRare,food,2,12,gp,2,Cuts from the finest specimen of its kind; intensely flavored.,icons/consumables/meat/steak-marbled.webp,Beast CR 11+ Harvest Table,Apex_Meat_215903275591fc05.json,,,
