TableName,TableDescription,TableType,CritFailEffect,FumbleEffect,CritSuccessItem,CritSuccessQuantity,ItemName,DC,Quantity,ItemCategory
Light Forest - Tier 1 Foraging Table,Minimal finds from a light woodland; basic survival fare for those who search carefully.,,,,,,Foraged Ration,1,1,food
Light Forest - Tier 1 Foraging Table,,,,,,,Wild Berries,2,1,food
Light Forest - Tier 1 Foraging Table,,,,,,,Edible Tuber,3,1,food
Light Forest - Tier 1 Foraging Table,,,,,,,Fresh Water,4,1,food
Light Forest - Tier 1 Foraging Table,,,,,,,Acorns,5,1,food
Light Forest - Tier 1 Foraging Table,,,,,,,Common Herb,6,1,component
Light Forest - Tier 2 Foraging Table,Decent finds from a light woodland; a seasoned forager can feed themselves and gather useful plants.,,,,,,Foraged Ration,1,2,food
Light Forest - Tier 2 Foraging Table,,,,,,,Wild Berries,2,2,food
Light Forest - Tier 2 Foraging Table,,,,,,,Small Game,3,1,food
Light Forest - Tier 2 Foraging Table,,,,,,,Common Herb,4,2,component
Light Forest - Tier 2 Foraging Table,,,,,,,Willow Bark,5,1,component
Light Forest - Tier 2 Foraging Table,,,,,,,Firewood Bundle,6,1,material
Light Forest - Tier 3 Foraging Table,Excellent finds from a light woodland; a skilled eye uncovers prime game and quality ingredients.,,,,,,Small Game,1,2,food
Light Forest - Tier 3 Foraging Table,,,,,,,Foraged Ration,2,3,food
Light Forest - Tier 3 Foraging Table,,,,,,,Wild Mushroom,3,3,food
Light Forest - Tier 3 Foraging Table,,,,,,,Medicinal Root,4,1,component
Light Forest - Tier 3 Foraging Table,,,,,,,Alchemist's Weed,5,1,component
Light Forest - Tier 3 Foraging Table,,,,,,,Hardwood Branch,6,1,material
Light Forest - Rare Foraging Table,Exceptional discovery in a light woodland; something unusual rewards the most perceptive forager.,,,,,,Rare Flower,1,1,component
Light Forest - Rare Foraging Table,,,,,,,Alchemist's Weed,2,2,component
Light Forest - Rare Foraging Table,,,,,,,Medicinal Root,3,2,component
Light Forest - Rare Foraging Table,,,,,,,Tree Resin,4,2,material
Light Forest - Rare Foraging Table,,,,,,,Wild Mushroom,5,4,food
Light Forest - Rare Foraging Table,,,,,,,Small Game,6,3,food
Dense Forest / Jungle - Tier 1 Foraging Table,Minimal finds from dense jungle undergrowth; the abundance is there but hard to reach.,,,,,,Tropical Fruit,1,1,food
Dense Forest / Jungle - Tier 1 Foraging Table,,,,,,,Coconut,2,1,food
Dense Forest / Jungle - Tier 1 Foraging Table,,,,,,,Bitter Greens,3,1,food
Dense Forest / Jungle - Tier 1 Foraging Table,,,,,,,Fresh Water,4,1,food
Dense Forest / Jungle - Tier 1 Foraging Table,,,,,,,Vine Cord,5,1,material
Dense Forest / Jungle - Tier 1 Foraging Table,,,,,,,Common Herb,6,1,component
Dense Forest / Jungle - Tier 2 Foraging Table,Decent finds in the dense jungle; edible fruits are plentiful and useful plants abound.,,,,,,Tropical Fruit,1,2,food
Dense Forest / Jungle - Tier 2 Foraging Table,,,,,,,Foraged Ration,2,2,food
Dense Forest / Jungle - Tier 2 Foraging Table,,,,,,,Menga Leaves,3,1,component
Dense Forest / Jungle - Tier 2 Foraging Table,,,,,,,Vine Cord,4,2,material
Dense Forest / Jungle - Tier 2 Foraging Table,,,,,,,Willow Bark,5,1,component
Dense Forest / Jungle - Tier 2 Foraging Table,,,,,,,Wild Mushroom,6,2,food
Dense Forest / Jungle - Tier 3 Foraging Table,Excellent jungle finds; a skilled forager locates prime specimens hidden in the undergrowth.,,,,,,Tropical Fruit,1,3,food
Dense Forest / Jungle - Tier 3 Foraging Table,,,,,,,Foraged Ration,2,3,food
Dense Forest / Jungle - Tier 3 Foraging Table,,,,,,,Menga Leaves,3,2,component
Dense Forest / Jungle - Tier 3 Foraging Table,,,,,,,Alchemist's Weed,4,2,component
Dense Forest / Jungle - Tier 3 Foraging Table,,,,,,,Rope Fiber,5,2,material
