Name,Icon,Description,Weight,Price,Denomination,Rarity,Category,HarvestBonus,ApplicableTypes
Animal Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,Rough cuts of meat taken from a slain beast; edible but unrefined.,2,4,sp,common,food,,
Animal Hide,icons/commodities/leather/fur-pelt-brown.webp,A scraped and salted pelt suitable for basic leatherwork.,3,6,sp,common,material,,
Bone Fragment,icons/commodities/bones/bone-fragments-white.webp,Splintered bones useful to alchemists and crafters.,1,2,sp,common,material,,
Teeth/Claws,icons/commodities/bones/bone-jaw-teeth-white.webp,A handful of serviceable teeth or claws stripped from a beast carcass.,0.5,3,sp,common,material,,
Quality Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,Well-marbled cuts from a healthier specimen; preferred by discerning cooks.,2,1,gp,uncommon,food,,
Thick Hide,icons/commodities/leather/fur-pelt-brown.webp,A dense pelt with exceptional insulating properties.,4,2,gp,uncommon,material,,
Sturdy Bones,icons/commodities/bones/bone-simple-white-brown.webp,"Dense, uncracked bones that hold up well under stress.",1,1,gp,uncommon,material,,
Large Teeth/Claws,icons/commodities/bones/bone-jaw-teeth-white.webp,Oversized fangs or talons from a formidable beast.,0.5,2,gp,uncommon,material,,
Venom Sac,icons/commodities/biological/organ-bladder-red.webp,A delicate glandular sac still holding trace amounts of venom.,0.5,4,gp,uncommon,component,,
Prime Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,Exceptional cuts from a prime specimen; commands a premium at market.,2,3,gp,rare,food,,
Superior Hide,icons/commodities/leather/fur-pelt-brown.webp,A flawless pelt with extraordinary texture and durability.,4,6,gp,rare,material,,
Dense Bones,icons/commodities/bones/bone-simple-white-brown.webp,Unusually compact bones that ring like iron when struck.,2,4,gp,rare,material,,
Razor Teeth/Claws,icons/commodities/bones/bone-jaw-teeth-white.webp,Exceptionally sharp natural weapons that retain their edge after removal.,1,5,gp,rare,material,,
Potent Venom Sac,icons/commodities/biological/organ-bladder-red.webp,An intact gland brimming with concentrated toxins.,0.5,10,gp,rare,component,,
Intact Organ,icons/commodities/biological/organ-liver-red.webp,A pristine internal organ carefully extracted without rupture.,1,8,gp,rare,component,,
Apex Hide,icons/commodities/leather/fur-pelt-brown.webp,The flawless skin of a true apex predator; near-mythical quality.,5,20,gp,veryRare,material,,
Apex Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,Cuts from the finest specimen of its kind; intensely flavored.,2,12,gp,veryRare,food,,
Primordial Bone,icons/commodities/bones/bone-simple-white-brown.webp,"Ancient, iron-hard bones suffused with primal vitality.",2,18,gp,veryRare,material,,
Rotting Flesh,icons/commodities/biological/organ-intestines-red.webp,Foul strips of undead tissue faintly animated by necrotic energy.,2,2,sp,common,component,,
Undead Ichor,icons/consumables/potions/bottle-conical-corked-green.webp,A viscous black fluid that seeps from undead wounds.,0.5,4,sp,common,component,,
Ghoul Claws,icons/commodities/biological/hand-clawed-brown.webp,Yellowed talons from a ghoul; laced with paralytic residue.,0.5,6,sp,common,material,,
Necrotic Residue,icons/consumables/potions/bottle-conical-corked-blue.webp,A powdery substance left behind when undead flesh decomposes.,0.5,1,gp,uncommon,component,,
Concentrated Ichor,icons/consumables/potions/bottle-conical-corked-green.webp,Thickened undead fluid with potent necrotic properties.,0.5,3,gp,uncommon,component,,
Shadow Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A wisp of cold shadow that can be crystallized for arcane use.,0.5,6,gp,uncommon,component,,
Ectoplasmic Residue,icons/consumables/potions/bottle-conical-corked-blue.webp,A gelatinous slime exuded by incorporeal undead upon destruction.,0.5,8,gp,rare,component,,
Death Shroud,icons/commodities/bones/skull-bird-grey.webp,A fragment of ethereal cloth that still radiates death's chill.,0.5,12,gp,rare,component,,
Soul Fragment,icons/commodities/gems/gem-cluster-teal.webp,A glittering shard of crystallized soul energy bound in dark magic.,0.5,20,gp,veryRare,component,,
Dragon Scales,icons/commodities/leather/scales-green.webp,Iridescent scales harvested from a dragon's hide; nearly impervious to flame.,1,10,gp,uncommon,material,,
Dragon Teeth,icons/commodities/bones/bone-jaw-teeth-white.webp,Massive serrated fangs torn from a dragon's jaw.,2,12,gp,uncommon,material,,
Dragon Blood,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,A vial of luminous draconic blood teeming with elemental energy.,0.5,15,gp,rare,component,,
Dragon Hide,icons/commodities/leather/scales-brown.webp,A large section of premium dragon skin suitable for master-crafted armor.,6,40,gp,rare,material,,
