TableName,TableDescription,TableType,CritFailEffect,FumbleEffect,CritSuccessItem,CritSuccessQuantity,ItemName,DC,Quantity,ItemCategory
Beast CR 0-1 Harvest Table,Generic harvest table for beasts of CR 0-1.,generic,The carcass ruptures; take 1d4 slashing damage from snapping bones and teeth.,You slip and ruin the best cut; the meat yield is halved.,,,"Animal Meat",13,1d4,food
Beast CR 0-1 Harvest Table,,,,,,,Animal Hide,13,1,material
Beast CR 0-1 Harvest Table,,,,,,,Bone Fragment,15,1d4,material
Beast CR 0-1 Harvest Table,,,,,,,Teeth/Claws,15,1,material
Beast CR 0-1 Harvest Table,,,,,,,Venom Sac,18,1,component
Beast CR 2-4 Harvest Table,Generic harvest table for beasts of CR 2-4.,generic,The carcass snaps shut reflexively; take 1d6 piercing damage.,You nick a bile duct; the nearby cuts are contaminated and one item is lost.,,,"Quality Meat",15,1d4,food
Beast CR 2-4 Harvest Table,,,,,,,Thick Hide,15,1,material
Beast CR 2-4 Harvest Table,,,,,,,Sturdy Bones,17,1,material
Beast CR 2-4 Harvest Table,,,,,,,Large Teeth/Claws,17,1,material
Beast CR 2-4 Harvest Table,,,,,,,Venom Sac,20,1,component
Beast CR 2-4 Harvest Table,,,,,,,Intact Organ,23,1,component
Beast CR 5-10 Harvest Table,Generic harvest table for beasts of CR 5-10.,generic,The carcass convulses with dying muscle spasms; take 2d6 bludgeoning damage.,You sever a pressurized vessel; the spray blinds you until the end of your next turn.,,,"Prime Meat",19,1d4,food
Beast CR 5-10 Harvest Table,,,,,,,Superior Hide,19,1,material
Beast CR 5-10 Harvest Table,,,,,,,Dense Bones,21,1,material
Beast CR 5-10 Harvest Table,,,,,,,Razor Teeth/Claws,21,1,material
Beast CR 5-10 Harvest Table,,,,,,,Potent Venom Sac,24,1,component
Beast CR 5-10 Harvest Table,,,,,,,Intact Organ,27,1,component
Beast CR 11+ Harvest Table,Generic harvest table for beasts of CR 11 or higher.,generic,The creature's apex physiology lashes back even in death; take 3d6 slashing damage.,You damage the primary hide section; one material item you would have recovered is destroyed.,,,"Apex Meat",27,1d4,food
Beast CR 11+ Harvest Table,,,,,,,Apex Hide,27,1,material
Beast CR 11+ Harvest Table,,,,,,,Primordial Bone,29,1,material
Beast CR 11+ Harvest Table,,,,,,,Razor Teeth/Claws,29,1d4,material
Beast CR 11+ Harvest Table,,,,,,,Potent Venom Sac,32,1,component
Beast CR 11+ Harvest Table,,,,,,,Intact Organ,35,1,component
Undead CR 0-1 Harvest Table,Generic harvest table for undead of CR 0-1.,generic,Necrotic energy discharges from the corpse; take 1d4 necrotic damage.,The foul ichor splashes your hands; you have disadvantage on Dexterity checks until you wash them.,,,"Rotting Flesh",13,1d4,component
Undead CR 0-1 Harvest Table,,,,,,,Undead Ichor,13,1d4,component
Undead CR 0-1 Harvest Table,,,,,,,Ghoul Claws,15,1,material
Undead CR 0-1 Harvest Table,,,,,,,Necrotic Residue,18,1d4,component
Undead CR 2-4 Harvest Table,Generic harvest table for undead of CR 2-4.,generic,Necrotic energy erupts from the remains; take 1d8 necrotic damage.,The necrotic vapors sting your eyes; disadvantage on Wisdom (Perception) checks for 1 minute.,,,"Undead Ichor",15,1d4,component
Undead CR 2-4 Harvest Table,,,,,,,Necrotic Residue,15,1,component
Undead CR 2-4 Harvest Table,,,,,,,Concentrated Ichor,17,1,component
Undead CR 2-4 Harvest Table,,,,,,,Shadow Essence,20,1,component
Undead CR 2-4 Harvest Table,,,,,,,Ectoplasmic Residue,23,1,component
Undead CR 5-10 Harvest Table,Generic harvest table for undead of CR 5-10.,generic,A burst of deathly energy erupts; take 2d8 necrotic damage and make a DC 14 Constitution save or gain one level of exhaustion.,Necrotic residue clings to your tools; they must be cleaned before being used for any other harvesting.,,,"Concentrated Ichor",19,1d4,component
Undead CR 5-10 Harvest Table,,,,,,,Shadow Essence,19,1,component
Undead CR 5-10 Harvest Table,,,,,,,Ectoplasmic Residue,21,1,component
Undead CR 5-10 Harvest Table,,,,,,,Death Shroud,24,1,component
Undead CR 5-10 Harvest Table,,,,,,,Soul Fragment,27,1,component
Undead CR 11+ Harvest Table,Generic harvest table for undead of CR 11 or higher.,generic,The soul animating the remains spitefully releases in a wave; take 3d8 necrotic damage and make a DC 17 Wisdom save or be frightened for 1 minute.,The overwhelming aura of death leaves you shaken; you cannot willingly approach another undead corpse for 10 minutes.,,,"Shadow Essence",27,1,component
Undead CR 11+ Harvest Table,,,,,,,Ectoplasmic Residue,27,1d4,component
Undead CR 11+ Harvest Table,,,,,,,Death Shroud,29,1,component
Undead CR 11+ Harvest Table,,,,,,,Soul Fragment,32,1,component
Dragon CR 0-1 Harvest Table,Generic harvest table for dragons of CR 0-1 (typically wyrmlings).,generic,The wyrmling's residual breath energy discharges; take 1d6 elemental damage (type matches the dragon).,A scale pops free and cuts you; take 1d4 piercing damage.,,,"Wyrmling Scale",13,1d6,material
Dragon CR 0-1 Harvest Table,,,,,,,Dragon Blood,15,1,component
Dragon CR 0-1 Harvest Table,,,,,,,Dragon Teeth,18,1,material
Dragon CR 2-4 Harvest Table,Generic harvest table for dragons of CR 2-4.,generic,Residual breath energy fires erratically; take 2d6 elemental damage (type matches the dragon).,A jagged scale slices your palm; take 1d6 slashing damage.,,,"Dragon Scales",15,1d4,material
Dragon CR 2-4 Harvest Table,,,,,,,Dragon Blood,15,1,component
Dragon CR 2-4 Harvest Table,,,,,,,Dragon Teeth,17,1,material
Dragon CR 2-4 Harvest Table,,,,,,,Dragon Hide,20,1,material
Dragon CR 2-4 Harvest Table,,,,,,,Breath Gland,23,1,component
Dragon CR 5-10 Harvest Table,Generic harvest table for dragons of CR 5-10.,generic,The breath gland ruptures explosively; all creatures within 10 feet take 3d6 elemental damage (DC 15 Dexterity save for half).,The scales shift and lock around your hand briefly; you are restrained until you use a bonus action to pull free.,,,"Dragon Scales",19,1d6,material
Dragon CR 5-10 Harvest Table,,,,,,,Dragon Blood,19,1d4,component
Dragon CR 5-10 Harvest Table,,,,,,,Dragon Hide,21,1,material
Dragon CR 5-10 Harvest Table,,,,,,,Breath Gland,24,1,component
Dragon CR 5-10 Harvest Table,,,,,,,Dragon Heart,27,1,component
Dragon CR 11+ Harvest Table,Generic harvest table for dragons of CR 11 or higher.,generic,The death-throes release a final breath; all creatures within 20 feet take 4d10 elemental damage (DC 18 Dexterity save for half).,The sheer magical density of the corpse overwhelms you; you lose one spell slot of your highest available level.,,,"Dragon Hide",27,2,material
Dragon CR 11+ Harvest Table,,,,,,,Dragon Blood,27,2d4,component
Dragon CR 11+ Harvest Table,,,,,,,Dragon Teeth,29,1d4,material
Dragon CR 11+ Harvest Table,,,,,,,Breath Gland,32,1,component
